scoring_3rd,scoring_4th,pace,efg_per,tov_per,orb_per,result
17.0,28.0,88.1,0.459,18.8,26.7,0
29.0,24.0,94.9,0.46,13.8,34.0,0
29.0,34.0,94.9,0.592,13.4,40.5,1
26.0,29.0,94.7,0.589,15.0,22.2,1
23.0,25.0,94.7,0.442,14.0,36.7,0
16.0,23.0,84.1,0.407,10.5,34.6,0
25.0,16.0,84.1,0.472,16.8,22.9,1
26.0,19.0,97.1,0.512,13.7,22.7,0
27.0,28.0,97.1,0.558,14.9,23.1,1
32.0,24.0,95.8,0.513,17.3,26.8,0
26.0,32.0,95.8,0.517,9.6,17.1,1
26.0,31.0,90.3,0.541,16.0,50.0,1
24.0,20.0,90.3,0.564,11.5,24.4,0
26.0,19.0,93.4,0.37,19.8,24.4,0
19.0,21.0,93.4,0.534,18.8,15.6,1
22.0,28.0,85.1,0.558,10.0,31.7,1
23.0,25.0,85.1,0.518,9.9,33.3,0
25.0,21.0,94.0,0.512,13.6,29.5,0
26.0,25.0,94.0,0.638,13.7,37.5,1
21.0,12.0,90.7,0.431,21.4,28.2,0
23.0,14.0,90.7,0.424,11.3,23.9,1
16.0,22.0,94.8,0.392,9.9,24.5,0
11.0,27.0,94.8,0.437,13.2,32.0,1
19.0,22.0,90.2,0.481,16.3,31.0,0
29.0,22.0,90.2,0.605,8.4,9.4,1
25.0,27.0,91.5,0.451,15.6,40.4,0
29.0,23.0,91.5,0.547,19.0,45.7,1
31.0,22.0,83.3,0.524,7.3,28.2,1
21.0,21.0,83.3,0.455,9.4,21.1,0
29.0,25.0,88.7,0.488,8.8,22.7,1
27.0,25.0,88.7,0.467,12.2,20.5,0
24.0,21.0,92.6,0.519,14.1,11.4,0
29.0,21.0,92.6,0.531,12.5,25.0,1
23.0,24.0,88.5,0.457,10.9,22.4,0
26.0,26.0,88.5,0.494,12.6,31.6,1
23.0,21.0,85.3,0.537,11.9,26.7,1
26.0,17.0,85.3,0.5,12.8,34.1,0
11.0,18.0,91.7,0.371,13.9,29.4,0
25.0,25.0,91.7,0.468,11.9,26.0,1
28.0,20.0,90.5,0.514,16.2,21.1,0
31.0,21.0,90.5,0.531,16.1,28.2,1
37.0,30.0,98.0,0.569,12.4,30.0,0
27.0,39.0,98.0,0.62,14.5,27.8,1
24.0,23.0,88.6,0.441,16.8,23.3,0
29.0,29.0,88.6,0.616,5.1,21.1,1
19.0,11.0,89.7,0.48,17.2,25.0,0
32.0,20.0,89.7,0.558,10.4,21.6,1
21.0,19.0,91.4,0.451,15.2,25.0,0
22.0,22.0,91.4,0.481,13.8,22.0,1
30.0,16.0,86.7,0.551,13.9,28.9,1
13.0,22.0,86.7,0.407,14.4,32.0,0
27.0,14.0,92.0,0.384,14.9,34.0,0
15.0,27.0,92.0,0.455,13.8,27.7,1
21.0,40.0,100.1,0.547,11.2,12.8,1
25.0,26.0,100.1,0.453,9.6,23.5,0
30.0,27.0,89.3,0.538,16.1,28.9,0
30.0,17.0,89.3,0.511,6.7,32.0,1
19.0,32.0,91.4,0.533,11.2,28.9,1
21.0,27.0,91.4,0.54,13.3,20.5,0
31.0,35.0,98.1,0.541,14.5,23.1,0
28.0,24.0,98.1,0.506,14.1,45.1,1
24.0,16.0,87.2,0.353,9.7,37.0,0
19.0,14.0,87.2,0.452,10.6,31.3,1
18.0,33.0,91.8,0.478,7.5,24.4,1
22.0,25.0,91.8,0.5,12.8,22.0,0
17.0,14.0,78.7,0.434,15.7,44.2,0
24.0,25.0,78.7,0.555,8.4,38.2,1
22.0,32.0,90.7,0.494,9.1,28.9,1
25.0,21.0,90.7,0.628,17.4,28.1,0
29.0,27.0,91.4,0.659,12.9,7.7,1
38.0,25.0,91.4,0.505,10.6,34.0,0
25.0,20.0,85.2,0.375,11.6,32.7,1
18.0,21.0,85.2,0.411,18.8,30.2,0
25.0,22.0,98.8,0.5,15.5,34.1,0
28.0,34.0,98.8,0.411,8.0,35.6,1
20.0,22.0,88.1,0.5,14.9,20.5,0
23.0,26.0,88.1,0.494,16.2,39.5,1
22.0,18.0,91.7,0.617,15.1,20.6,1
20.0,21.0,91.7,0.452,12.3,24.5,0
24.0,23.0,93.1,0.506,11.1,25.0,0
22.0,23.0,93.1,0.525,9.8,20.5,1
27.0,26.0,95.4,0.525,18.2,28.2,0
30.0,23.0,95.4,0.484,11.9,39.6,1
